FID,SHAPE,NAME,ADRESSE,BETREUUNG,ART,ART_TXT,SKZ,TELEFON,WEBLINK1,SE_SDO_ROWID,SE_ANNO_CAD_DATA
SCHULEOGD.631781,POINT (16.37092111473237 48.15142432263407),MS Josef-Enslein-Platz 1-3,"10., Josef-Enslein-Platz 1-3",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),910062,01 4000 561 040,http://www.lernenohnelaerm.at/projektschulen/kinderfreunde-eichenstrasse-2/,631781,
SCHULEOGD.631782,POINT (16.349321339216743 48.23777392456007),GRg 19 Billrothstraße 26-30,"19., Billrothstraße 26-30",Ganztagsschule in getrennter Abfolge<br>Ganztagsschule in verschränkter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),919036,01 368 46 15,http://www.billrothgymnasium.at,631782,
SCHULEOGD.631783,POINT (16.33305134641509 48.185534183261936),GRg 15 Diefenbachgasse 19,"15., Diefenbachgasse 19",Ganztagsschule in getrennter Abfolge<br>Ganztagsschule in verschränkter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),915026,01 893 67 01,http://www.diefenbachgymnasium.at,631783,
SCHULEOGD.631784,POINT (16.389061080203025 48.19109412193955),MS Kölblgasse 23,"3., Kölblgasse 23",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),903062,01 4000/560 950,http://wms3koelblgasse.schule.wien.at/,631784,
SCHULEOGD.631785,POINT (16.400241046148803 48.20591404489472),MS Wittelsbachstraße 6,"2., Wittelsbachstraße 6",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),902072,01 4000/560 910,http://www.smswien2.at/,631785,
SCHULEOGD.631786,POINT (16.39341099948043 48.14762432686634),MS Wendstattgasse 5/I,"10., Wendstattgasse 5/I",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),910112,01 4000 561 070,http://mim.schule.wien.at,631786,
SCHULEOGD.631787,POINT (16.31432137531569 48.1406044100954),MS Carlbergergasse 72,"23., Carlbergergasse 72",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),923092,01 4000 563 9203,http://www.juniorhighschool.at/,631787,
SCHULEOGD.631788,POINT (16.432180835384944 48.16620421414299),VS Florian-Hedorfer-Straße 20,"11., Florian-Hedorfer-Straße 20",Ganztagsschule in verschränkter Abfolge<br>Offene Schule,1,Volksschule (privat),911051,01 4000 562 030,http://flo-he.schulweb.at/,631788,
SCHULEOGD.631789,POINT (16.46059068136542 48.154674251516255),VS Svetelskystraße 4-6,"11., Svetelskystraße 4-6",Offene Schule<br>Ganztagsschule in verschränkter Abfolge,1,Volksschule (öffentlich),911171,01 4000 562 110,http://gtvsbrunokreisky.schule.wien.at/,631789,
SCHULEOGD.631790,POINT (16.38748111650238 48.21102402772109),GRg 3 Radetzkystraße 2A,"3., Radetzkystraße 2A",Ganztagsschule in getrennter Abfolge<br>Ganztagsschule in verschränkter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),903036,01 712 15 49,http://www.grg3rad.at,631790,
