FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.8754005,8754005,POINT (16.396032706556838 48.15473563134369),Kronawettergasse,Kronawettergasse,N68,,13,https://anachb.vor.at?P=SQ&input=Wien%20Kronawettergasse&start=1,
OEFFHALTESTOGD.8754006,8754006,POINT (16.396032706556838 48.15473563134369),Kronawettergasse,Kronawettergasse,N68,,12,https://anachb.vor.at?P=SQ&input=Wien%20Kronawettergasse&start=1,
OEFFHALTESTOGD.8754007,8754007,POINT (16.396122506218553 48.155244929477135),Kronawettergasse,Kronawettergasse,"68B, N68, 68A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Kronawettergasse&start=1,
OEFFHALTESTOGD.8754008,8754008,POINT (16.396122506218553 48.155244929477135),Kronawettergasse,Kronawettergasse,N68,,10,https://anachb.vor.at?P=SQ&input=Wien%20Kronawettergasse&start=1,
OEFFHALTESTOGD.8754009,8754009,POINT (16.396122506218553 48.155244929477135),Kronawettergasse,Kronawettergasse,N68,,11,https://anachb.vor.at?P=SQ&input=Wien%20Kronawettergasse&start=1,
OEFFHALTESTOGD.8751969,8751969,POINT (16.50966495465472 48.377506538709135),Wolkersdorf Industriestraße,Wolkersdorf Industriestraße,"516, 502, 500, 505",,3,https://anachb.vor.at?P=SQ&input=Wolkersdorf%20Industriestraße&start=1,
OEFFHALTESTOGD.8751970,8751970,POINT (16.50971875522815 48.37775713681766),Wolkersdorf Industriestraße,Wolkersdorf Industriestraße,"501, 502, 500, 505",,3,https://anachb.vor.at?P=SQ&input=Wolkersdorf%20Industriestraße&start=1,
OEFFHALTESTOGD.8751971,8751971,POINT (16.510617150776643 48.37784663614003),Wolkersdorf Industriestraße,Wolkersdorf Industriestraße,501,,3,https://anachb.vor.at?P=SQ&input=Wolkersdorf%20Industriestraße&start=1,
OEFFHALTESTOGD.8751972,8751972,POINT (16.510176951233685 48.37653984207692),Wolkersdorf Johann-Galler-Straße,Wolkersdorf Johann-Galler-Straße,516,,3,https://anachb.vor.at?P=SQ&input=Wolkersdorf%20Johann-Galler-Straße&start=1,
OEFFHALTESTOGD.8751973,8751973,POINT (16.511344761351108 48.384326004134984),Wolkersdorf Johannesgasse,Wolkersdorf Johannesgasse,501,,3,https://anachb.vor.at?P=SQ&input=Wolkersdorf%20Johannesgasse&start=1,
OEFFHALTESTOGD.8751974,8751974,POINT (16.511452561696693 48.38440960334585),Wolkersdorf Johannesgasse,Wolkersdorf Johannesgasse,501,,3,https://anachb.vor.at?P=SQ&input=Wolkersdorf%20Johannesgasse&start=1,
OEFFHALTESTOGD.8751975,8751975,POINT (16.514848144419428 48.38445730049064),Wolkersdorf Wiener Straße,Wolkersdorf Wiener Straße,"501, 514, 530, 500, 515, 505",,3,https://anachb.vor.at?P=SQ&input=Wolkersdorf%20Wiener%20Straße&start=1,
OEFFHALTESTOGD.8751976,8751976,POINT (16.5143451463567 48.38393820305323),Wolkersdorf Wiener Straße,Wolkersdorf Wiener Straße,"514, 530, 500, 515, 505",,3,https://anachb.vor.at?P=SQ&input=Wolkersdorf%20Wiener%20Straße&start=1,
OEFFHALTESTOGD.8751977,8751977,POINT (16.50317909987992 48.38349681582168),Wolkersdorf Ziegelofengasse,Wolkersdorf Ziegelofengasse,501,,3,https://anachb.vor.at?P=SQ&input=Wolkersdorf%20Ziegelofengasse&start=1,
OEFFHALTESTOGD.8751978,8751978,POINT (16.503206099561744 48.383550415681626),Wolkersdorf Ziegelofengasse,Wolkersdorf Ziegelofengasse,501,,3,https://anachb.vor.at?P=SQ&input=Wolkersdorf%20Ziegelofengasse&start=1,
OEFFHALTESTOGD.8751979,8751979,POINT (16.52080401548081 48.38417689534907),Wolkersdorf Kirchengasse,Wolkersdorf Kirchengasse,"514, 515",,3,https://anachb.vor.at?P=SQ&input=Wolkersdorf%20Kirchengasse&start=1,
OEFFHALTESTOGD.8751980,8751980,POINT (16.520947713973563 48.384200695339395),Wolkersdorf Kirchengasse,Wolkersdorf Kirchengasse,"514, 515",,3,https://anachb.vor.at?P=SQ&input=Wolkersdorf%20Kirchengasse&start=1,
OEFFHALTESTOGD.8751981,8751981,POINT (16.17574468754458 48.32938609182854),Zeiselmauer Florianiplatz,Zeiselmauer Florianiplatz,"SV810, 413, 406",,3,https://anachb.vor.at?P=SQ&input=Zeiselmauer%20Florianiplatz&start=1,
