FID,OBJECTID,SHAPE,TEXT13ID,F_TYP,T_TEXT,T_LANG,O,P,O_UEREG,O_REGION,O_LOKAL,P_WLD,P_WAS,P_WIE,P_WGT,P_LW,P_PK,P_GPK,P_GST,P_SGR,P_AGR,P_RGR,P_URB,Q_MOB,Q_SPI,Q_GRI,Q_HUN,Q_BAB,Q_WC,Q_SPO,Q_TRB,UMFANG,FLAECHE,SE_ANNO_CAD_DATA
OEFFGRUENFLOGD.2252,2252,"POLYGON ((16.319596519240434 48.210573799403875, 16.318778427494294 48.210697616126005, 16.318659602031293 48.21035220459182, 16.319478376666314 48.21022248658637, 16.319596519240434 48.210573799403875))",Schuhmeierpl*,L,Schuhmeierplatz,Schuhmeierplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,123,1,204.33009276,2480.36433714,
OEFFGRUENFLOGD.2253,2253,"POLYGON ((16.327940184174466 48.21009299394358, 16.32718938269026 48.21020844415197, 16.326965070999663 48.20955276846678, 16.327712365137373 48.209437600043046, 16.327940184174466 48.21009299394358))",Richard-Wagn*,L,Richard-Wagner-Park,Richard-Wagner-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,1,263.86568797,4273.46006296,
OEFFGRUENFLOGD.2254,2254,"POLYGON ((16.334553372681242 48.2054654368077, 16.334482844603947 48.2060376413917, 16.33383459644021 48.20599408124244, 16.333759911858373 48.20599151762088, 16.333815723804896 48.20542973358968, 16.334553372681242 48.2054654368077))",Ludo-Hartman*,L,Ludo-Hartmann-Park,Ludo-Hartmann-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,12,1,235.40454233,3437.08873452,
OEFFGRUENFLOGD.2255,2255,"POLYGON ((16.228203349457587 48.216726028012026, 16.22782300415042 48.21706234774634, 16.227708098029346 48.21715390325941, 16.227661370373646 48.217191135886196, 16.227116205484517 48.21690908240905, 16.22720720141146 48.21682813657089, 16.22764711236971 48.21643414250755, 16.228203349457587 48.216726028012026))",Salzwiesenga*,L,Salzwiesengasse,Salzwiesengasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,235.27835409,3432.1664699,
OEFFGRUENFLOGD.2256,2256,"POLYGON ((16.302838113286345 48.22342478262229, 16.302702092960253 48.223548117622755, 16.30187610649201 48.22340932475977, 16.301627681697777 48.22338676776751, 16.301374143487717 48.22335943063377, 16.301215465475586 48.22336949996483, 16.301029425345718 48.22343464381078, 16.301196415188162 48.223258485401, 16.301300938864124 48.22294881530008, 16.30132138580213 48.22284161858246, 16.301710565024162 48.223014431019486, 16.301748385597328 48.223024217867746, 16.301992178537724 48.2231165196345, 16.302018177790735 48.22307914908741, 16.30235559537345 48.22321667554959, 16.302379702881577 48.223211061890986, 16.302838113286345 48.22342478262229))",Park Spinoza*,L,Park Spinozagasse,Parkanlage Spinozagasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,351.91621663,4361.73414177,
OEFFGRUENFLOGD.2257,2257,"POLYGON ((16.305956423145027 48.21443641517268, 16.306668066119297 48.21451528946346, 16.305486308286547 48.21459873024111, 16.305451172347723 48.2144014332849, 16.305129027745373 48.21441258855342, 16.3040286798326 48.214328045645274, 16.303994935646084 48.214288102979694, 16.303981323376195 48.21404926492435, 16.303986270907686 48.21388364721814, 16.304987307552235 48.213774580403815, 16.305094583901013 48.214183534094055, 16.305120633068544 48.21427544048851, 16.305408566144134 48.214316548917715, 16.30557605529828 48.21438010768198, 16.305956423145027 48.21443641517268))",Karl-Kantner*,L,Karl-Kantner-Park,Karl-Kantner-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,517.48917028,6256.53116896,
OEFFGRUENFLOGD.2258,2258,"POLYGON ((16.286007957810895 48.20774388137737, 16.28683391982155 48.208298442521496, 16.287105043141683 48.208379216277415, 16.286978250870472 48.20861635727406, 16.286915427344226 48.208608461411586, 16.286238945974077 48.208182118529, 16.285992705100675 48.208069315368526, 16.285849737438163 48.20801754225716, 16.28590329155822 48.20787367478121, 16.286007957810895 48.20774388137737))",Steinhofer P*,L,Steinhofer /Park Demuthga,Parkanlage Demuthgasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,1,278.08759302,2642.57059354,
OEFFGRUENFLOGD.2259,2259,"POLYGON ((16.364420318565866 48.24994542131998, 16.36342680530737 48.25012130931032, 16.36298843515677 48.2489576474747, 16.363976948573107 48.24879019639306, 16.364420318565866 48.24994542131998))",HeiligenstäS*,L,Heiligenstädter Straße,Heiligenstädter Straße,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,418.1061209,10113.70052498,
OEFFGRUENFLOGD.2260,2260,"POLYGON ((16.354969004563046 48.25503914983723, 16.355156820404712 48.255282494640404, 16.355279278715262 48.25540472467075, 16.355180303866984 48.255420197625625, 16.354208332761583 48.25539365739869, 16.354114971250183 48.2546809686522, 16.3544761679973 48.254671636751105, 16.354578163238482 48.25500577082458, 16.35492025335498 48.254960749676044, 16.354969004563046 48.25503914983723))",Rudolf-Kassn*,L,Rudolf-Kassner-Gasse,Rudolf-Kassner-Gasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.22135927,4183.44505656,
OEFFGRUENFLOGD.2261,2261,"POLYGON ((16.35848035538872 48.25393377228369, 16.358212371482086 48.253923144933935, 16.357776063611862 48.25393165923511, 16.35585923350937 48.25386315151809, 16.35578786095405 48.253857262515815, 16.355860222817135 48.253631860364656, 16.355743782814564 48.25339412512922, 16.355548055100105 48.25315274933881, 16.355732759386427 48.253095948885836, 16.355652527714746 48.25280958879734, 16.355742707138887 48.252865305470955, 16.355727519363167 48.252814279383536, 16.355688751394705 48.252791882383136, 16.355650347168183 48.252741623762525, 16.35572736773105 48.25272442208237, 16.355746243026466 48.25278737060032, 16.355864645440278 48.25286586188055, 16.355992062057506 48.25295032829359, 16.356131632812897 48.25300865487701, 16.356368021264142 48.2531108937506, 16.35637052366676 48.253108484954474, 16.35638977021667 48.2530865608544, 16.357794725475816 48.25316667964198, 16.357829877032927 48.25285472460108, 16.3579611747989 48.25286284921033, 16.357970139511394 48.252731323311515, 16.35732308640737 48.252705309071494, 16.357366935170162 48.25236019045309, 16.357502937638635 48.25128914168901, 16.357556116780476 48.251264682188605, 16.357569948963967 48.25117221874402, 16.358416842811767 48.25126648477767, 16.358776931858735 48.2513082887859, 16.35889417199992 48.25132315994156, 16.36091958785102 48.2515784812608, 16.361014025792507 48.25166417681552, 16.361761237286515 48.25163197421599, 16.361935419297872 48.25206360434625, 16.36237193941251 48.2519814431375, 16.36238191900377 48.25201038697028, 16.362399963589933 48.252008416043935, 16.362491606041996 48.25215312739194, 16.36241660894949 48.25216860196733, 16.361680454751905 48.25235930988404, 16.361565404376858 48.25238912514022, 16.36080542044273 48.2524612361281, 16.360699284920287 48.25269507972061, 16.360575026454 48.253327434104676, 16.359555880722866 48.253273688318465, 16.359523602711864 48.25336587425086, 16.359364450702305 48.253374337667076, 16.359370784505252 48.25341424329095, 16.3592186214703 48.253426077502375, 16.35922510685085 48.253473852071075, 16.359085479418017 48.25348287323341, 16.359098418050554 48.25353739134524, 16.358935898027912 48.25354697898132, 16.35894963730252 48.25361554867766, 16.358723828458007 48.25363189342965, 16.358712632813074 48.25358974045352, 16.358420560867426 48.253616214894585, 16.35848035538872 48.25393377228369))",HeiligenstäP*,L,Heiligenstädter Park,Heiligenstädter Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,123,1,1706.56138772,78432.92476939,
OEFFGRUENFLOGD.2262,2262,"POLYGON ((16.35128536500729 48.25695073108136, 16.351278817348877 48.25712328706166, 16.35117959201608 48.25721800919571, 16.35019718261922 48.25681990808581, 16.350185458165583 48.256790681950406, 16.350312966100397 48.2566984869217, 16.35053729622138 48.256581830048304, 16.3508066083809 48.25648090399885, 16.351180694513925 48.25639036230089, 16.35128536500729 48.25695073108136))",Park Langack*,L,Park Langackergasse,Parkanlage Langackergasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.08084032,4282.21178657,
OEFFGRUENFLOGD.2263,2263,"POLYGON ((16.33101159155883 48.243447802854305, 16.331134507743666 48.2437836194236, 16.331104614913464 48.24381905103929, 16.331099091373126 48.24385448369877, 16.33082954059245 48.24392452818985, 16.330746190589764 48.24344309650931, 16.330353695259696 48.243492535408215, 16.33032102324947 48.24333431149832, 16.33024408065804 48.24296165513793, 16.330618790096665 48.24289366295813, 16.330849960497854 48.2428672563471, 16.330872745700024 48.242950846650956, 16.330832196854228 48.24295947641707, 16.33087171726418 48.24304249371674, 16.33082074335057 48.24305309430115, 16.330992904420047 48.24343054333404, 16.33101159155883 48.243447802854305))",Alfred-Auer-*,L,Alfred-Auer-Park,Alfred-Auer-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.31832995,3846.40283996,
OEFFGRUENFLOGD.2264,2264,"POLYGON ((16.334965593981334 48.21876971365952, 16.334955499915043 48.21882648288894, 16.335102040828257 48.21923258202528, 16.33425436176286 48.21940878117539, 16.33410433212086 48.21889869839671, 16.33430686416411 48.21885233021498, 16.334798053059536 48.21875032090316, 16.334943983044216 48.21871266354116, 16.334965593981334 48.21876971365952))",Pezzlpark,L,Pezzlpark,Pezzlpark,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,248.87827769,3768.79761641,
OEFFGRUENFLOGD.2265,2265,"POLYGON ((16.331141160852276 48.246013643536784, 16.33120753219085 48.24609404482258, 16.331775353727537 48.246585902709725, 16.331749694815844 48.246630943778335, 16.33124360641224 48.24620206446878, 16.330948627760705 48.245951368607905, 16.330601786249105 48.2460963667203, 16.33054267186771 48.246027510797155, 16.330372646416105 48.24576979304438, 16.3301422378392 48.24548391089084, 16.33036675892823 48.245437890929395, 16.330352491721246 48.24539489142523, 16.3307264013868 48.245289240198524, 16.331047520007992 48.24528981668672, 16.331836048174566 48.245182790602236, 16.332179322125302 48.24515412091507, 16.332287549181423 48.24548117725793, 16.331720824850567 48.24569959296875, 16.331371865537047 48.24579725535602, 16.3312900938056 48.245820140384886, 16.331292286919005 48.24582240943933, 16.331263336612555 48.24583156053403, 16.33118544482979 48.24587226461367, 16.3311416813985 48.245920589071524, 16.331141160852276 48.246013643536784))",Park Börnerg*,L,Park Börnergasse,Parkanlage Börnergasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,1,596.42105757,9524.12461206,
