FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
,,POINT (16.33198314455596 48.17436135788608),,,"59A, 62, 62A, 8A, 9A, D 14000, D 16845, D 17000, D 19930, D 852, I, IC 296, IC 530, ICE 22, ICE 90, N8, NJ 40294, NJ 467, RJ 132, RJ 19932, RJ 530, RJ 535, RJ 558, RJ 559, RJ 644, RJ 649, RJX 262, RJX 764, RJX 865, RJX 869",,,,
,,POINT (16.35446786183284 48.19262017702289),,,"12A, 13A, 14A, N60, N71, U4",,,,
,,POINT (16.312202378130166 48.1991172725793),,,"10, 49, N49, U3",,,,
,,POINT (16.34535901294094 48.19696166161065),,,U3,,,,
,,POINT (16.417753842736865 48.185523471033505),,,"72A, N75, U3",,,,
,,POINT (16.38025840256953 48.169128372748666),,,"65A, 66A, N66, N67, U1",,,,
,,POINT (16.3694607479628 48.23522786446352),,,"1, 2, 30, 31, 33, 5, 5B, N31, U6",,,,
,,POINT (16.395233338270476 48.246690793233924),,,"20A, 20B, U6",,,,
,,POINT (16.38521720517953 48.24181820212623),,,"11A, 11B, 5A, CJX9, N8, R 21222, R1, R3, REX1, REX2, REX3, REX7, REX92, S1, S2, S3, S4, S45, S7, SV900, SV903, U6",,,,
,,POINT (16.46598425435962 48.2195548789824),,,"25, 95A, N26, U2",,,,
,,POINT (16.283231755428854 48.17378629097625),,,S80,,,,
,,POINT (16.44831449945062 48.21919277170021),,,"86A, 87A, 94A, R 2548, R81, REX1, REX8, REX81, S80, SV910, U2",,,,
,,POINT (16.4411190035244 48.19964116907791),,,"77A, 79A, 79B, S80",,,,
,,POINT (16.379099555790223 48.20250611475805),,,"N75, U4",,,,
,,POINT (16.309076300220998 48.204703447098396),,,"10, 49, U3",,,,
,,POINT (16.371625700230595 48.208127791893375),,,"1A, 2A, 3A, U1, U3",,,,
,,POINT (16.381300583984125 48.285849494258414),,,"32A, 34A, R 21222, R3, REX3, S3, S4",,,,
