FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,WEBLINK1
POLIZEIOGD.3935123,POINT (16.362261630140736 48.15949053678035),Polizeiinspektion Wien-Sibeliusstraße,"10., Sibeliusstraße 8",3935123,,https://www.polizei.gv.at/
POLIZEIOGD.3935124,POINT (16.37732015078899 48.18396569046279),Polizeiinspektion Wien-Hauptbahnhof,"10., Am Hauptbahnhof 2",3935124,,https://www.polizei.gv.at/
POLIZEIOGD.3935105,POINT (16.35712945205868 48.192667951289955),Polizeiinspektion Wien-Schönbrunner Straße,"05., Schönbrunner Straße 34",3935105,,https://www.polizei.gv.at/
POLIZEIOGD.3935106,POINT (16.35300622864332 48.19706609308865),Polizeiinspektion Wien-Kopernikusgasse,"06., Kopernikusgasse 1",3935106,,https://www.polizei.gv.at/
POLIZEIOGD.3935107,POINT (16.344168587975215 48.19440368108413),Polizeiinspektion Wien-Stumpergasse,"06., Stumpergasse 42",3935107,,https://www.polizei.gv.at/
POLIZEIOGD.3935108,POINT (16.346324459336977 48.2028679693821),Polizeiinspektion Wien-Kandlgasse,"07., Kandlgasse 4",3935108,,https://www.polizei.gv.at/
POLIZEIOGD.3935109,POINT (16.355092005300083 48.201928847939634),Polizeiinspektion Wien-Stiftgasse,"07., Stiftgasse 2a",3935109,,https://www.polizei.gv.at/
POLIZEIOGD.3935110,POINT (16.338966932761625 48.201622729843685),Polizeiinspektion Wien-Urban-Loritz-Platz,"07., Urban-Loritz-Platz 7",3935110,,https://www.polizei.gv.at/
POLIZEIOGD.3935112,POINT (16.347952841138948 48.21045847219255),Polizeiinspektion Wien-Fuhrmannsgasse,"08., Fuhrmannsgasse 5",3935112,,https://www.polizei.gv.at/
POLIZEIOGD.3935113,POINT (16.340670631137 48.213590331229355),Polizeiinspektion Wien-Hernalser Gürtel,"08., Hernalser Gürtel 6-12",3935113,,https://www.polizei.gv.at/
POLIZEIOGD.3935114,POINT (16.356543518391472 48.22364962345339),Polizeiinspektion Wien-Boltzmanngasse,"09., Boltzmanngasse 20",3935114,,https://www.polizei.gv.at/
POLIZEIOGD.3935115,POINT (16.35991565875664 48.22847899905152),Polizeiinspektion Wien-Julius-Tandler-Platz,"09., Althanstraße 10",3935115,,https://www.polizei.gv.at/
