FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.9311458,9311458,POINT (16.466451261801474 48.15465168865281),Svetelskystraße,Svetelskystraße,"11, 71",,1,https://anachb.vor.at?P=SQ&input=Wien%20Svetelskystraße&start=1,
OEFFHALTESTOGD.9311459,9311459,POINT (16.465418267343487 48.154280090508855),Svetelskystraße,Svetelskystraße,"11, 71",,1,https://anachb.vor.at?P=SQ&input=Wien%20Svetelskystraße&start=1,
OEFFHALTESTOGD.9311460,9311460,POINT (16.466657860474882 48.15425609044008),Svetelskystraße,Svetelskystraße,71B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Svetelskystraße&start=1,
OEFFHALTESTOGD.9311461,9311461,POINT (16.465903263949635 48.153878592449786),Svetelskystraße,Svetelskystraße,"71B, N71",,2,https://anachb.vor.at?P=SQ&input=Wien%20Svetelskystraße&start=1,
OEFFHALTESTOGD.9311462,9311462,POINT (16.465903263949635 48.153878592449786),Svetelskystraße,Svetelskystraße,N71,,10,https://anachb.vor.at?P=SQ&input=Wien%20Svetelskystraße&start=1,
OEFFHALTESTOGD.9311463,9311463,POINT (16.465903263949635 48.153878592449786),Svetelskystraße,Svetelskystraße,N71,,11,https://anachb.vor.at?P=SQ&input=Wien%20Svetelskystraße&start=1,
OEFFHALTESTOGD.9311464,9311464,POINT (16.450910679147103 48.25664401134458),Franz-Eduard-Matras-Gasse,Franz-Eduard-Matras-Gasse,"N25, 27A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Franz-Eduard-Matras-Gasse&start=1,
OEFFHALTESTOGD.9311465,9311465,POINT (16.450910679147103 48.25664401134458),Franz-Eduard-Matras-Gasse,Franz-Eduard-Matras-Gasse,N25,,10,https://anachb.vor.at?P=SQ&input=Wien%20Franz-Eduard-Matras-Gasse&start=1,
OEFFHALTESTOGD.9311466,9311466,POINT (16.450910679147103 48.25664401134458),Franz-Eduard-Matras-Gasse,Franz-Eduard-Matras-Gasse,N25,,11,https://anachb.vor.at?P=SQ&input=Wien%20Franz-Eduard-Matras-Gasse&start=1,
OEFFHALTESTOGD.9311467,9311467,POINT (16.453875062935648 48.25572891446535),Theodor-Kramer-Str.,Theodor-Kramer-Str.,"N25, 27A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Theodor-Kramer-Str.&start=1,
OEFFHALTESTOGD.9311468,9311468,POINT (16.453875062935648 48.25572891446535),Theodor-Kramer-Str.,Theodor-Kramer-Str.,N25,,10,https://anachb.vor.at?P=SQ&input=Wien%20Theodor-Kramer-Str.&start=1,
